algorithm,num_procs,num_doubles_per_proc,seconds
RSM_Alltoall_manpack_sendrecv,16,1024,0.000121083
RSM_Alltoall_manpack_sendrecv,16,2048,0.0015563
RSM_Alltoall_manpack_sendrecv,16,4096,0.00146197
RSM_Alltoall_manpack_sendrecv,16,8192,0.00091217
RSM_Alltoall_manpack_sendrecv,16,16384,0.0016203
RSM_Alltoall_manpack_sendrecv,16,32768,0.00232451
RSM_Alltoall_manpack_sendrecv,16,65536,0.00493172
RSM_Alltoall_manpack_sendrecv,16,131072,0.00957406
RSM_Alltoall_manpack_sendrecv,16,262144,0.0230008
RSM_Alltoall_manpack_sendrecv,16,524288,0.0481763
RSM_Alltoall_sendrecv,16,16,0.000112004
RSM_Alltoall_sendrecv,16,32,9.74109e-05
RSM_Alltoall_sendrecv,16,64,9.66079e-05
RSM_Alltoall_sendrecv,16,128,9.82389e-05
RSM_Alltoall_sendrecv,16,256,0.00010267
RSM_Alltoall_sendrecv,16,512,0.000109224
RSM_Alltoall_sendrecv,16,1024,0.000128209
RSM_Alltoall_sendrecv,16,2048,0.00159627
RSM_Alltoall_sendrecv,16,4096,0.00112823
RSM_Alltoall_sendrecv,16,8192,0.000980923
RSM_Alltoall_sendrecv,16,16384,0.0016716
RSM_Alltoall_sendrecv,16,32768,0.00259467
RSM_Alltoall_sendrecv,16,65536,0.00588176
RSM_Alltoall_sendrecv,16,131072,0.00690628
RSM_Alltoall_sendrecv,16,262144,0.0179273
RSM_Alltoall_sendrecv,16,524288,0.0369635
RSM_Alltoall_wait,16,16,9.49252e-05
RSM_Alltoall_wait,16,32,9.29408e-05
RSM_Alltoall_wait,16,64,9.24561e-05
RSM_Alltoall_wait,16,128,9.47051e-05
RSM_Alltoall_wait,16,256,9.6173e-05
RSM_Alltoall_wait,16,512,0.000103998
RSM_Alltoall_wait,16,1024,0.000119371
RSM_Alltoall_wait,16,2048,0.000242364
RSM_Alltoall_wait,16,4096,0.000316867
RSM_Alltoall_wait,16,8192,0.0004669
RSM_Alltoall_wait,16,16384,0.000906748
RSM_Alltoall_wait,16,32768,0.00182914
RSM_Alltoall_wait,16,65536,0.00607667
RSM_Alltoall_wait,16,131072,0.00926557
RSM_Alltoall_wait,16,262144,0.0203103
RSM_Alltoall_wait,16,524288,0.0411305
alltoall_bruck,16,16,1.02491e-05
alltoall_bruck,16,32,1.31772e-05
alltoall_bruck,16,64,1.57161e-05
alltoall_bruck,16,128,2.0901e-05
alltoall_bruck,16,256,3.08571e-05
alltoall_bruck,16,512,5.0462e-05
alltoall_bruck,16,1024,8.72731e-05
alltoall_bruck,16,2048,0.000162983
alltoall_bruck,16,4096,0.000328654
alltoall_bruck,16,8192,0.000642714
alltoall_bruck,16,16384,0.00124876
alltoall_bruck,16,32768,0.00291529
alltoall_bruck,16,65536,0.00555794
alltoall_bruck,16,131072,0.0115265
alltoall_bruck,16,262144,0.0244186
alltoall_bruck,16,524288,0.0490479
alltoall_local_bruck,16,16,7.7071e-05
alltoall_local_bruck,16,32,7.3657e-05
alltoall_local_bruck,16,64,7.52571e-05
alltoall_local_bruck,16,128,8.00481e-05
alltoall_local_bruck,16,256,8.6128e-05
alltoall_local_bruck,16,512,9.59878e-05
alltoall_local_bruck,16,1024,0.00012389
alltoall_local_bruck,16,2048,0.000178734
alltoall_local_bruck,16,4096,0.00026093
alltoall_local_bruck,16,8192,0.0004334
alltoall_local_bruck,16,16384,0.000976749
alltoall_local_bruck,16,32768,0.00147843
alltoall_local_bruck,16,65536,0.00301597
alltoall_local_bruck,16,131072,0.00681917
alltoall_local_bruck,16,262144,0.0164474
alltoall_local_bruck,16,524288,0.0362301
